iter	RMSE
0	38.72270474
1	37.01223904
2	35.23681027
3	33.51526679
4	31.99565052
5	30.47538681
6	29.15858822
7	27.78127679
8	26.60910358
9	25.33198106
10	24.22931394
11	23.10952915
12	22.01480011
13	20.97296808
14	19.99023851
15	19.0913298
16	18.20789725
17	17.37246793
18	16.58177239
19	15.86505968
20	15.18695741
21	14.51569965
22	13.88780682
23	13.25838485
24	12.7551232
25	12.22355787
26	11.6858371
27	11.19968053
28	10.75041738
29	10.32029651
30	9.890372328
31	9.485541292
32	9.104694326
33	8.791013334
34	8.452061223
35	8.137939096
36	7.85133021
37	7.575175456
38	7.33374298
39	7.102608566
40	6.898077248
41	6.672095402
42	6.450739475
43	6.224604766
44	6.012721475
45	5.845385299
46	5.699301517
47	5.549882648
48	5.37665877
49	5.238583083
50	5.108508354
51	4.959821132
52	4.850583518
53	4.756840331
54	4.628865917
55	4.547987795
56	4.434124913
57	4.336212727
58	4.233926438
59	4.155398929
60	4.083450053
61	3.990333073
62	3.913628258
63	3.846764454
64	3.766270709
65	3.707712517
66	3.63690685
67	3.573868621
68	3.514681912
69	3.455606159
70	3.399454006
71	3.346917728
72	3.28483414
73	3.236774282
74	3.177492125
75	3.127123172
76	3.07446346
77	3.035105079
78	2.99894262
79	2.958768799
80	2.926027172
81	2.888317237
82	2.85297624
83	2.813915255
84	2.769820697
85	2.735681321
86	2.70441405
87	2.674038199
88	2.643122866
89	2.601726871
90	2.573914826
91	2.544297828
92	2.515462576
93	2.488143448
94	2.461178362
95	2.435463662
96	2.409828788
97	2.384304537
98	2.361260199
99	2.335836356
100	2.311880877
101	2.287753307
102	2.264046428
103	2.240231427
104	2.21694974
105	2.188483074
106	2.165778306
107	2.144865986
108	2.123945534
109	2.103422265
110	2.082747425
111	2.052888854
112	2.032994438
113	2.002512946
114	1.982971666
115	1.963929934
116	1.940309467
117	1.922205719
118	1.903709955
119	1.88592174
120	1.868649078
121	1.850305388
122	1.833101641
123	1.812375405
124	1.796149766
125	1.774765413
126	1.758851583
127	1.739463278
128	1.723827227
129	1.707992338
130	1.693047285
131	1.677548161
132	1.66283098
133	1.648019738
134	1.632422747
135	1.618398832
136	1.604802075
137	1.59053224
138	1.576537922
139	1.560129731
140	1.542865377
141	1.531064977
142	1.517606337
143	1.498766061
144	1.486289042
145	1.473254991
146	1.46114908
147	1.449572789
148	1.432737724
149	1.421316943
150	1.410136989
151	1.396465482
152	1.385123485
153	1.373590459
154	1.36170654
155	1.350300737
156	1.338871168
157	1.328052533
158	1.315665088
159	1.305121259
160	1.294307613
161	1.283473135
162	1.272755032
163	1.263011612
164	1.252383831
165	1.241810084
166	1.232475439
167	1.223386617
168	1.213006849
169	1.196391983
170	1.186726065
171	1.177035908
172	1.168374504
173	1.158719118
174	1.150650265
175	1.140050641
176	1.131895114
177	1.122349883
178	1.114180015
179	1.105964181
180	1.097508141
181	1.089908566
182	1.080660465
183	1.072134611
184	1.063926607
185	1.056048498
186	1.04515258
187	1.034223169
188	1.022199834
189	1.009863524
190	1.001755739
191	0.9951517488
192	0.9872750938
193	0.9802838164
194	0.9697926976
195	0.963712908
196	0.953683142
197	0.9471299301
198	0.9394902309
199	0.9333415016
200	0.9270277828
201	0.9197304971
202	0.9099354262
203	0.9030721639
204	0.8971637255
205	0.8896500667
206	0.8824661463
207	0.8754888282
208	0.8703635378
209	0.8635902005
210	0.8539458703
211	0.844244595
212	0.8363204281
213	0.8311038498
214	0.8240996701
215	0.8179319388
216	0.8129570117
217	0.8077903591
218	0.8022159132
219	0.7931826224
220	0.7854896048
221	0.7795474552
222	0.7751432464
223	0.7678644818
224	0.7604734898
225	0.7534776426
226	0.7491503037
227	0.7435028308
228	0.7393153696
229	0.7338687113
230	0.729937614
231	0.7236492749
232	0.7194744278
233	0.7139518169
234	0.7072626257
235	0.7023042765
236	0.6972032372
237	0.6935353156
238	0.6894203003
239	0.683203803
240	0.6776281264
241	0.6727046145
242	0.6684627546
243	0.6626037147
244	0.6589323139
245	0.653591872
246	0.6479710222
247	0.6435727413
248	0.6402401876
249	0.6357791374
250	0.6326746632
251	0.627329715
252	0.6223891553
253	0.6189097463
254	0.6147855388
255	0.6107159693
256	0.6077867734
257	0.6033839515
258	0.5987763724
259	0.5955735843
260	0.5910278913
261	0.5865961138
262	0.5828129764
263	0.5798007247
264	0.5759514653
265	0.5723759673
266	0.5696264587
267	0.5657152822
268	0.5628840243
269	0.5589992391
270	0.5550242662
271	0.5509260686
272	0.5483409117
273	0.5449507764
274	0.5424502844
275	0.5388653083
276	0.5350637638
277	0.5313943455
278	0.5285845143
279	0.5250348361
280	0.5218714293
281	0.5195558069
282	0.5157067671
