iter	Passed	Remaining
0	57	57047
1	58	29254
2	60	20032
3	61	15391
4	63	12600
5	65	10813
6	66	9477
7	68	8507
8	70	7710
9	71	7091
10	74	6675
11	76	6269
12	77	5905
13	79	5598
14	81	5328
15	82	5093
16	84	4897
17	86	4732
18	89	4602
19	94	4634
20	96	4479
21	97	4337
22	100	4251
23	101	4140
24	103	4030
25	105	3936
26	107	3858
27	108	3783
28	110	3707
29	112	3640
30	114	3572
31	116	3521
32	118	3480
33	120	3424
34	122	3364
35	123	3319
36	125	3268
37	127	3228
38	128	3176
39	130	3139
40	132	3099
41	134	3068
42	136	3037
43	138	3006
44	140	2988
45	142	2946
46	143	2911
47	145	2879
48	147	2853
49	148	2829
50	150	2805
51	152	2780
52	154	2756
53	156	2739
54	158	2718
55	160	2713
56	162	2692
57	164	2674
58	166	2652
59	168	2632
60	170	2630
61	172	2611
62	174	2589
63	175	2569
64	177	2554
65	179	2534
66	180	2516
67	182	2499
68	184	2484
69	185	2469
70	187	2455
71	188	2435
72	191	2431
73	193	2418
74	195	2406
75	197	2395
76	199	2386
77	200	2374
78	202	2359
79	204	2347
80	206	2337
81	207	2325
82	210	2322
83	211	2310
84	214	2306
85	215	2295
86	217	2285
87	219	2272
88	221	2271
89	223	2261
90	225	2251
91	226	2239
92	228	2231
93	230	2223
94	232	2210
95	233	2200
96	234	2187
97	236	2179
98	238	2169
99	239	2159
100	241	2151
101	243	2144
102	245	2141
103	247	2132
104	249	2123
105	251	2121
106	254	2121
107	255	2111
108	257	2103
109	259	2095
110	260	2086
111	261	2075
112	263	2067
113	267	2078
114	269	2073
115	271	2067
116	272	2060
117	274	2052
118	276	2044
119	277	2033
120	279	2027
121	280	2020
122	282	2011
123	283	2004
124	285	2000
125	287	1994
126	289	1991
127	291	1986
128	292	1978
129	295	1976
130	296	1969
131	298	1961
132	300	1957
133	302	1953
134	304	1947
135	305	1941
136	307	1936
137	309	1930
138	310	1922
139	312	1917
140	313	1911
141	315	1906
142	317	1901
143	318	1895
144	320	1889
